ID,MAR_STAT,AGE,EDUC,GENDER,ETHNIC,RELIG,CAP_PUN,GUN_LAW,SEX_ED,ILL_DIE,READ_NEWS,NEWS_TV,NEWS_PBS,BIGBAND,BLUEGRASS,COUNTRY,BLUES,MUSICALS,CLASSICAL,FOLK,JAZZ
330,1,42,2,1,1,1,1,1,1,1,1,1,1,3,3,4,1,3,2,2,2
331,3,54,1,2,1,1,1,1,1,2,1,2,2,1,4,2,3,1,2,4,4
332,1,43,1,2,1,1,1,1,1,1,2,1,2,4,2,1,3,3,3,3,4
333,1,33,3,2,1,1,1,0,1,1,1,1,2,2,2,1,2,2,3,2,2
334,5,21,1,1,1,1,1,1,0,0,0,4,1,8,8,1,8,8,8,8,8
335,1,26,1,1,1,1,1,2,1,1,3,1,3,2,1,1,2,3,2,4,4
336,1,42,1,1,1,1,1,0,1,2,1,2,2,4,3,2,4,5,5,4,4
337,1,34,3,1,1,1,1,0,1,2,3,2,3,8,3,3,3,3,3,3,4
338,3,25,1,2,1,1,1,1,0,0,0,5,2,8,8,2,5,3,2,3,4
339,1,43,0,1,1,2,1,2,0,0,0,1,3,2,2,3,2,4,5,4,2
340,1,65,2,1,1,4,1,2,0,0,0,5,5,2,3,5,2,2,1,2,1
341,5,20,1,1,1,2,1,1,1,1,3,3,4,4,4,3,5,3,1,8,2
342,5,22,1,2,1,4,2,0,1,1,2,4,4,3,2,1,3,2,2,3,2
343,5,23,1,2,1,2,1,1,0,0,0,1,1,4,4,5,4,4,5,5,2
344,5,22,2,2,1,1,1,1,1,1,3,2,3,3,4,4,2,2,3,4,2
345,5,22,1,1,1,2,1,2,0,0,0,1,2,8,2,1,4,3,3,1,2
346,5,20,1,2,1,1,1,2,2,1,4,4,4,4,3,4,4,3,4,4,4
347,1,41,1,1,1,5,2,1,0,0,0,2,2,2,4,4,3,3,2,4,1
348,1,21,0,2,1,1,1,0,1,1,2,2,4,3,2,1,2,2,1,3,3
349,1,33,1,1,1,5,1,0,1,1,1,2,3,2,2,3,3,3,3,2,2
350,2,87,1,2,1,1,2,1,1,1,1,3,4,2,2,2,2,2,2,2,2
351,3,77,1,2,1,1,2,0,2,2,5,3,1,4,8,4,8,2,3,8,3
352,1,40,0,1,1,1,1,0,1,1,4,1,1,2,3,2,2,4,3,3,3
353,5,25,3,1,1,1,1,1,1,1,2,2,2,2,3,4,2,2,1,3,1
354,1,51,1,1,1,1,1,2,2,2,1,2,3,3,2,2,4,4,4,4,5
355,1,32,1,2,1,1,2,1,1,1,3,4,1,5,5,2,3,3,5,5,5
356,1,30,1,2,1,1,8,2,0,0,0,1,3,2,2,2,2,2,3,3,2
357,2,86,0,1,1,2,8,1,1,2,1,1,1,9,9,9,9,9,9,9,9
358,1,40,1,2,1,1,8,1,1,1,4,2,3,1,1,1,1,2,3,2,2
359,3,46,1,2,1,2,1,0,1,2,1,1,2,2,2,2,2,2,3,1,1
360,1,40,1,2,2,1,1,1,2,1,1,1,3,1,1,1,1,2,2,1,1
361,3,43,0,1,3,1,1,0,1,2,3,1,3,1,1,1,1,2,2,2,2
362,1,46,1,1,1,1,2,1,0,0,0,1,3,2,3,2,2,3,3,2,1
363,1,70,1,2,1,1,8,0,1,2,1,1,3,2,2,2,2,1,1,2,2
364,1,32,1,1,1,4,1,0,1,2,2,1,2,2,2,2,2,2,4,2,2
365,1,37,1,1,1,1,1,2,0,0,0,1,2,2,3,2,2,3,3,4,1
366,5,53,1,1,1,1,1,0,8,2,1,1,3,2,2,2,2,2,2,2,2
367,1,32,1,2,2,1,1,0,1,1,4,1,1,4,8,3,2,2,2,3,2
368,1,52,0,1,1,1,1,0,1,1,5,2,5,2,1,1,3,3,3,3,3
370,3,43,1,2,1,1,1,1,0,0,0,1,3,3,2,1,2,2,2,2,2
371,5,25,1,1,2,1,1,1,1,2,1,1,2,3,3,3,2,2,4,4,2
372,1,46,1,1,1,1,1,0,2,2,3,1,3,2,1,1,3,4,3,2,2
373,1,66,1,2,1,2,1,2,0,0,0,2,2,1,2,2,2,2,2,2,3
374,3,42,1,1,1,2,1,2,1,1,1,1,5,2,2,1,3,4,4,2,2
375,3,38,1,1,3,2,1,1,0,0,0,2,5,2,3,3,3,3,1,2,2
376,1,23,1,1,1,1,2,0,1,1,2,2,4,4,4,3,4,4,3,3,3
378,1,35,1,2,1,1,1,1,1,1,2,1,2,2,4,1,4,3,2,2,4
379,1,62,1,1,1,1,1,2,1,1,1,1,2,2,3,2,3,2,2,2,4
380,5,19,0,1,1,2,2,1,1,1,1,2,3,4,8,2,2,4,4,2,2
381,5,19,0,2,1,1,1,1,1,1,3,2,4,2,8,1,3,3,4,4,3
382,1,58,2,2,1,1,1,1,2,2,1,1,2,3,3,3,4,3,3,3,4
383,1,59,3,2,1,1,1,0,1,2,1,1,1,2,2,1,3,3,3,3,5
385,1,68,0,2,1,1,8,1,0,0,0,1,1,4,4,2,4,4,4,4,4
386,5,47,1,1,1,1,1,1,0,0,0,3,3,4,1,1,2,4,4,2,3
387,5,19,0,1,2,1,1,1,0,0,0,2,1,4,4,5,2,4,3,3,2
388,1,35,0,1,2,1,1,1,0,0,0,1,2,5,5,5,2,5,5,5,4
389,3,44,1,2,2,1,2,1,2,1,1,4,4,4,4,2,3,5,5,5,4
391,3,41,1,2,1,1,1,1,0,0,0,1,3,8,2,1,2,2,4,2,2
392,1,38,2,2,2,1,2,1,0,0,0,2,2,4,4,4,4,4,4,4,4
393,1,36,4,2,2,1,9,0,1,1,2,1,2,4,2,2,2,2,2,3,2
394,1,43,1,1,2,5,1,1,0,0,0,1,1,3,4,2,1,2,3,3,1
395,4,35,0,2,2,2,1,0,8,8,5,1,1,8,8,8,8,8,2,8,2
396,5,25,0,1,2,2,8,2,1,2,3,3,3,3,8,2,8,8,2,2,2
397,5,25,1,1,2,4,2,1,0,0,0,3,3,2,8,3,2,3,2,2,2
399,2,73,1,1,1,1,1,0,1,1,1,1,1,1,2,2,2,2,8,3,3
400,1,36,3,1,1,4,1,1,1,1,2,2,2,2,2,3,1,3,2,3,1
401,1,35,1,1,1,2,1,1,0,0,0,1,2,3,2,1,3,3,8,2,4
402,1,67,1,2,1,2,1,0,1,1,1,1,3,1,2,2,2,1,3,3,2
403,3,51,1,2,1,2,8,0,1,1,5,5,5,1,8,2,2,3,1,1,1
404,3,58,1,2,1,2,2,0,2,2,1,1,3,1,3,4,2,1,2,3,2
405,1,40,1,2,1,2,1,1,0,0,0,1,1,2,2,8,8,2,5,8,2
406,3,68,0,1,1,2,1,8,0,0,0,3,3,2,3,4,8,2,1,3,8
407,5,19,0,2,2,4,1,2,1,1,4,1,1,4,4,4,2,4,2,4,2
408,1,52,1,1,2,1,1,1,1,1,4,1,2,2,2,3,1,1,1,2,1
410,1,53,1,2,1,1,1,1,0,0,0,3,4,2,1,1,1,1,2,3,3
411,1,63,2,2,1,1,1,0,2,2,2,1,3,2,2,2,3,3,2,3,3
412,2,75,3,2,1,1,1,1,0,0,0,1,2,2,4,5,3,1,1,2,2
413,3,38,1,2,1,1,1,0,1,1,2,1,3,4,4,2,2,3,2,4,1
414,3,38,2,2,1,1,1,0,1,1,2,3,3,3,3,2,2,2,2,2,2
415,3,49,3,1,1,2,1,1,1,2,1,3,3,1,2,2,2,2,2,2,3
416,1,50,2,2,1,5,1,1,1,2,2,1,1,2,4,2,4,2,2,2,4
417,2,78,1,2,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,3,3
418,1,57,0,1,2,1,1,2,0,0,0,1,5,8,8,1,2,8,8,8,4
419,2,69,1,2,2,1,2,2,0,0,0,1,4,8,8,3,3,8,2,3,3
420,1,68,1,2,1,2,1,0,1,1,1,1,2,1,2,1,2,2,3,2,3
422,1,58,1,1,1,1,1,0,1,1,1,1,2,1,2,1,4,2,2,3,4
423,1,45,1,2,1,1,1,1,1,2,1,1,4,3,4,1,3,2,2,2,3
424,5,20,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,3,2
425,1,78,0,1,1,1,1,1,0,0,0,1,3,4,4,1,4,2,5,8,4
426,2,52,2,1,1,1,8,2,0,0,0,1,4,3,3,3,4,3,3,3,3
427,1,39,2,1,1,1,1,1,2,1,1,1,3,2,3,1,3,3,4,3,3
428,2,81,1,2,1,2,2,0,1,1,3,1,3,1,1,3,8,1,4,3,5
429,3,36,1,2,3,2,2,0,2,8,3,4,4,2,2,2,3,3,8,3,3
430,1,51,0,2,3,2,1,1,0,0,0,5,5,2,8,1,2,2,2,3,2
431,2,78,3,2,1,1,1,0,1,1,1,1,2,1,3,1,2,1,1,1,3
432,1,25,1,2,3,2,2,2,0,0,0,4,4,8,8,4,4,4,8,4,4
434,1,36,4,1,1,1,1,1,0,0,0,1,2,4,3,2,2,5,2,4,3
435,1,33,3,2,1,2,1,1,0,0,0,1,3,8,2,1,3,3,2,2,9
436,1,51,1,1,1,1,1,2,0,0,0,1,1,4,1,1,4,3,2,1,3
437,1,47,2,2,1,1,1,2,0,0,0,2,4,2,4,1,2,2,2,2,2
438,5,21,1,2,1,1,1,1,1,1,4,3,4,5,5,3,4,5,5,5,4
439,1,59,1,2,1,1,1,2,0,0,0,1,2,8,2,2,8,4,2,1,8
441,1,23,0,2,1,1,1,1,1,2,2,2,4,4,4,2,3,4,4,4,3
442,1,76,0,1,1,1,1,0,2,1,1,1,5,1,3,2,5,4,4,2,5
443,1,40,1,2,1,1,1,1,1,2,2,2,4,4,3,2,4,3,4,4,3
444,1,38,1,2,1,1,8,2,2,8,4,1,2,8,2,2,2,8,8,2,8
445,2,66,1,2,1,1,2,1,1,2,1,1,1,2,2,1,2,3,3,2,4
446,2,73,0,2,1,1,1,1,1,1,5,4,5,8,2,1,8,8,8,8,8
447,5,80,0,1,1,1,8,0,2,8,1,1,5,4,3,2,9,4,5,3,4
448,3,57,0,2,1,1,1,0,2,1,5,2,5,4,2,3,4,9,4,4,4
449,2,78,0,2,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,5
450,5,66,1,2,1,1,1,1,2,2,1,1,2,2,1,1,2,2,3,3,3
451,2,88,1,1,1,1,1,1,1,8,1,1,8,8,2,2,4,8,2,4,2
452,1,58,1,2,1,1,1,0,1,2,4,2,2,1,2,4,4,2,2,2,3
453,5,39,1,1,1,1,1,0,1,1,2,2,1,2,2,2,2,8,8,2,2
454,3,31,1,2,1,1,2,0,1,2,2,2,2,3,2,4,2,2,1,2,2
455,1,51,3,2,1,1,2,0,1,2,1,1,2,2,2,1,3,2,3,3,3
456,1,37,3,1,1,1,1,1,1,2,2,2,2,2,3,2,4,2,2,2,3
457,1,32,1,2,1,1,1,1,0,0,0,5,4,3,2,2,2,4,3,3,2
458,2,73,0,2,1,1,1,1,0,0,0,5,4,4,4,1,3,4,5,2,4
459,1,47,3,1,1,1,1,0,1,1,2,4,4,2,3,3,3,2,3,2,3
460,2,71,3,2,1,2,1,1,1,2,1,1,4,2,3,3,3,1,2,2,3
461,3,42,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,2,1,2
462,2,75,1,2,1,1,1,1,0,0,0,1,3,8,2,2,2,3,3,2,3
463,3,72,0,2,1,1,2,1,0,0,0,4,5,2,4,2,4,3,3,4,4
464,1,63,3,2,1,1,1,0,1,8,1,1,3,1,4,3,3,3,2,4,1
465,2,89,0,2,1,1,1,0,2,1,1,1,4,1,3,2,3,3,1,3,4
466,1,49,0,1,1,4,1,1,0,0,0,5,5,4,4,1,4,4,4,4,4
467,1,64,1,1,1,1,1,1,0,0,0,1,2,2,2,2,3,2,4,3,3
468,1,64,1,2,1,1,1,0,1,1,1,1,1,8,1,1,3,1,1,3,5
469,1,46,1,1,1,4,1,1,2,1,4,5,2,1,1,1,2,3,3,8,1
470,2,76,0,2,1,1,2,1,1,2,5,1,4,4,2,1,3,4,4,4,4
471,1,72,1,2,1,1,1,2,1,1,5,1,3,2,5,1,1,3,3,3,2
472,2,77,1,2,1,1,1,0,1,1,4,1,3,1,3,2,4,1,1,3,4
475,1,27,2,2,1,1,1,1,1,1,3,1,4,4,5,2,5,4,5,4,4
476,1,21,1,2,1,1,1,1,1,1,1,1,2,3,2,3,4,2,2,2,4
477,5,32,3,2,3,1,1,1,1,1,1,3,4,3,4,2,1,3,3,3,3
478,1,40,4,1,1,4,1,0,1,1,2,3,3,1,2,4,1,3,2,1,2
479,3,45,3,2,1,1,1,1,0,0,0,1,1,1,3,1,2,1,2,2,3
480,1,26,1,2,3,1,1,0,1,1,4,4,4,2,8,2,8,2,3,8,3
481,2,84,1,2,1,1,1,0,1,2,1,1,5,1,2,2,2,2,2,2,2
482,5,46,4,2,1,1,1,2,1,1,3,2,2,1,1,2,3,3,2,1,2
483,5,32,4,2,1,1,1,2,0,0,0,2,4,4,3,1,3,2,3,3,2
484,5,36,3,1,1,4,1,1,1,1,3,1,4,2,3,3,3,2,2,3,3
485,5,21,1,2,1,1,1,2,0,0,0,4,3,8,8,1,2,2,3,8,2
486,5,30,1,2,1,2,1,1,2,1,2,4,3,1,2,1,4,1,1,1,3
487,5,23,1,2,1,4,1,1,1,1,5,3,3,2,3,4,1,2,2,3,1
488,3,51,1,2,1,1,1,2,0,0,0,1,4,2,3,2,2,2,4,4,2
490,1,40,4,1,1,3,1,1,0,0,0,1,1,8,8,8,8,8,3,3,8
491,1,51,3,1,1,1,1,0,1,1,1,2,2,3,2,4,2,3,2,2,3
492,1,54,3,2,1,1,2,1,0,0,0,1,4,2,2,2,3,2,1,1,3
493,1,61,1,2,1,2,1,1,0,0,0,1,2,1,3,4,2,2,3,3,1
494,1,27,3,1,3,2,1,1,1,1,4,2,1,8,8,3,3,2,3,2,1
495,2,55,0,2,1,2,8,0,2,1,3,1,2,2,8,3,2,1,1,1,1
496,1,33,1,1,2,1,2,1,1,2,2,1,1,8,8,2,2,2,1,3,1
497,1,61,0,2,1,1,1,1,1,1,5,1,4,1,4,2,4,2,4,2,2
498,3,38,1,2,1,1,1,0,1,1,1,1,4,5,3,2,2,5,2,4,1
499,1,36,1,2,1,2,1,0,1,2,2,1,1,4,5,5,2,4,5,4,3
500,3,50,1,2,1,1,1,1,0,0,0,1,1,2,4,3,3,1,2,3,2
501,3,67,0,2,1,1,1,0,2,1,5,1,1,4,2,2,2,4,1,2,5
502,2,81,1,2,1,1,8,1,8,8,1,2,2,2,2,3,2,2,1,2,2
504,1,63,3,1,1,1,2,1,1,1,1,1,3,2,2,3,1,2,3,2,1
505,1,43,4,2,1,4,1,1,1,1,2,2,2,2,3,4,2,2,2,2,3
507,1,47,1,1,1,1,1,2,0,0,0,1,3,2,2,2,2,3,2,2,2
508,3,44,2,2,1,1,1,1,0,0,0,2,3,8,3,2,2,3,3,8,2
509,5,28,1,1,1,2,1,0,1,8,2,2,5,2,1,1,1,2,2,3,2
510,4,32,1,2,1,2,1,1,0,0,0,1,4,2,2,3,2,3,2,3,2
511,5,20,1,1,1,4,1,2,0,0,0,1,5,4,3,2,3,4,4,4,3
512,1,50,1,1,1,1,1,1,1,2,1,1,3,2,2,2,1,3,3,2,1
513,1,31,1,2,1,4,1,0,1,1,2,2,2,2,4,1,2,2,3,4,2
515,2,62,1,2,1,1,1,1,0,0,0,2,3,2,3,2,1,2,2,3,2
516,1,66,0,1,1,1,1,1,1,1,1,1,3,2,2,2,3,2,3,3,3
517,5,29,2,1,1,1,1,1,0,0,0,1,2,4,2,3,1,3,3,4,1
518,3,30,1,1,1,4,1,0,1,1,4,2,4,2,2,2,1,3,2,3,2
519,5,34,2,1,2,1,1,1,1,2,1,3,4,3,3,2,1,4,8,3,1
520,1,63,1,2,2,1,2,1,1,2,2,1,1,3,4,2,1,4,8,4,2
522,1,55,1,2,2,1,1,0,1,2,1,1,3,2,2,2,2,2,3,2,3
523,1,39,1,2,2,1,1,1,0,0,0,1,3,2,5,2,2,3,3,5,2
524,5,36,1,1,2,1,1,0,1,1,1,1,5,4,3,4,2,3,4,4,1
525,2,77,3,2,1,1,1,0,1,2,1,1,2,1,2,3,3,2,2,2,2
526,3,39,1,1,1,4,1,0,1,1,2,5,4,2,3,3,2,3,1,3,2
527,5,28,3,2,1,4,2,1,1,1,2,3,2,2,2,5,2,3,3,3,3
528,5,23,1,1,1,4,2,0,1,1,1,1,2,3,4,5,3,2,1,5,1
529,5,21,1,1,1,4,1,1,0,0,0,1,2,8,1,4,1,2,3,2,1
530,1,63,1,1,1,1,1,1,0,0,0,1,2,2,3,2,2,3,4,3,2
531,1,46,1,2,1,1,1,1,0,0,0,1,2,1,1,1,3,2,2,3,3
532,5,42,4,1,1,1,1,0,1,1,1,1,1,3,4,4,4,2,2,2,2
533,1,39,4,2,1,3,2,1,1,1,1,1,2,3,2,2,1,2,1,1,1
534,3,77,1,2,1,1,2,0,1,1,2,4,3,1,3,3,2,1,3,3,1
536,1,28,1,2,1,1,1,1,2,2,4,2,4,1,2,2,3,1,2,3,2
537,2,87,0,1,1,1,2,0,1,1,1,1,2,1,2,1,4,4,2,2,3
540,1,49,3,1,1,2,1,1,1,1,1,1,4,1,2,2,2,1,2,1,2
542,3,56,4,2,3,1,1,1,1,1,1,1,3,8,8,3,4,3,1,2,3
543,3,28,1,1,1,2,1,1,1,1,1,1,4,2,4,1,3,2,4,3,2
544,1,30,1,2,1,4,2,1,0,0,0,1,5,8,8,3,8,8,3,3,8
545,1,24,1,1,1,2,1,1,0,0,0,2,5,8,8,2,4,8,4,4,4
546,1,37,4,2,1,4,1,1,0,0,0,1,3,1,3,2,3,2,3,3,4
547,2,48,1,2,1,2,2,0,1,1,3,4,4,8,8,8,3,3,3,8,3
549,2,77,1,2,1,1,1,2,2,1,2,1,3,1,3,3,2,2,2,2,2
550,1,73,4,2,1,1,1,1,1,2,1,1,2,2,3,3,3,1,1,2,3
551,2,65,1,2,1,1,1,1,1,1,1,1,4,1,2,3,1,1,3,1,1
552,1,74,1,1,1,1,1,2,0,0,0,1,4,2,2,2,2,2,2,2,2
553,5,22,2,2,1,1,1,1,0,0,0,1,2,2,1,1,1,1,2,2,2
554,5,19,0,1,1,1,1,1,1,1,2,2,3,8,8,4,2,3,2,8,3
555,1,49,2,1,1,2,1,0,1,1,1,1,2,2,2,5,2,3,1,4,2
557,2,74,1,2,1,2,1,0,2,2,3,1,5,3,4,1,4,2,3,3,4
558,2,89,1,2,1,1,1,0,2,1,1,5,5,2,4,4,4,4,2,1,2
559,3,36,0,1,1,4,1,2,0,0,0,2,4,3,4,2,8,3,5,3,3
560,3,35,1,1,1,1,1,2,1,1,3,5,3,3,1,1,2,4,1,3,2
561,3,36,1,2,1,4,1,1,0,0,0,2,2,4,2,1,1,3,3,1,1
562,3,37,1,2,1,4,1,1,0,0,0,1,4,8,8,3,2,2,1,8,2
563,3,53,1,2,1,1,1,1,0,0,0,1,5,3,3,1,3,4,4,2,4
564,3,74,1,1,1,4,1,1,1,1,1,1,2,2,2,3,3,2,3,2,3
565,3,55,2,1,1,1,1,2,0,0,0,2,3,2,3,1,1,4,4,2,2
566,1,39,3,1,1,1,1,2,0,0,0,2,3,2,3,3,2,2,3,3,3
567,2,89,0,2,1,2,8,8,8,8,1,1,2,1,1,1,3,2,2,2,4
568,2,74,0,2,1,1,8,0,2,2,1,1,1,2,2,2,2,2,3,3,3
569,1,89,1,1,1,1,2,0,2,1,1,1,5,5,5,3,3,4,1,1,5
570,1,72,1,1,1,1,1,1,0,0,0,1,1,1,3,2,2,1,2,3,4
571,1,52,3,2,1,1,1,0,1,2,1,3,3,3,3,3,4,2,1,2,3
572,1,38,1,2,1,2,1,0,1,1,2,2,2,4,4,1,3,4,2,4,4
573,1,52,2,1,1,1,1,0,1,1,1,1,4,3,8,1,4,4,3,3,3
574,1,76,0,1,1,1,1,0,1,2,1,2,1,2,2,1,4,4,3,4,4
575,1,58,1,2,1,1,2,1,0,0,0,1,3,3,2,1,2,8,5,2,3
577,3,43,1,1,1,4,1,0,1,1,2,1,2,3,4,5,3,4,2,2,2
578,5,24,1,1,1,4,2,0,1,2,1,1,1,1,2,2,2,4,3,4,2
579,3,74,1,2,1,1,1,2,0,0,0,1,1,3,2,1,3,8,8,2,4
580,3,56,0,2,1,1,1,1,0,0,0,3,4,2,3,2,2,2,3,2,2
581,2,73,0,2,1,1,1,1,1,1,2,1,3,2,1,1,1,1,3,4,3
582,1,39,1,1,1,2,1,1,0,0,0,1,2,2,2,2,1,1,3,3,1
583,1,87,1,1,1,1,1,1,1,2,1,1,3,2,2,2,2,3,3,2,2
585,1,28,2,2,1,2,8,1,1,1,1,1,1,8,3,5,3,4,4,4,3
586,1,40,2,1,1,1,1,0,1,2,2,1,4,2,1,1,2,2,4,2,3
587,5,24,0,1,1,4,1,2,1,1,5,1,1,8,8,2,8,4,4,4,4
588,1,49,0,1,1,1,1,1,0,0,0,1,2,2,1,1,4,3,4,4,3
589,1,42,1,2,1,1,1,0,1,8,3,4,5,3,2,1,3,1,1,1,2
590,1,64,0,1,1,1,1,1,1,1,1,1,5,2,3,1,2,4,4,2,4
591,1,63,0,2,1,2,1,1,1,2,1,1,5,2,1,1,2,2,2,2,2
592,3,58,0,2,1,1,1,0,1,1,4,1,5,2,2,2,2,3,4,3,3
593,1,59,1,2,1,1,1,2,0,0,0,1,2,2,1,1,2,3,8,2,3
594,1,47,1,1,1,1,1,0,1,1,1,1,4,3,3,1,3,3,2,3,5
595,2,88,0,2,1,1,8,8,8,1,2,5,5,8,8,8,8,8,8,8,8
596,2,82,1,1,1,4,8,1,0,0,0,1,1,1,2,4,4,1,4,4,4
597,2,87,1,1,1,1,8,2,0,0,0,4,2,2,3,3,8,8,8,8,8
599,3,43,1,1,1,2,1,1,1,1,4,5,3,2,2,1,5,4,5,4,5
600,1,35,1,2,1,2,8,1,0,0,0,4,4,3,3,2,2,1,1,3,3
601,1,35,1,1,1,1,8,0,1,1,4,3,4,4,3,2,3,3,3,3,3
602,5,20,1,2,1,2,1,1,0,0,0,2,8,2,3,2,3,2,2,2,3
603,1,37,2,1,1,1,2,1,1,8,2,3,3,2,2,2,2,2,3,3,2
604,5,24,1,2,1,2,1,1,0,0,0,2,3,2,3,2,2,3,3,3,2
605,1,62,0,2,1,2,2,1,1,1,3,1,5,8,2,1,2,2,3,3,3
606,1,28,3,2,1,1,2,1,1,2,3,2,4,3,3,4,3,2,3,4,2
607,1,51,1,2,1,1,1,1,0,0,0,2,3,2,2,3,4,2,2,2,4
608,1,44,1,2,1,1,1,0,1,1,3,1,3,2,2,1,2,2,2,3,2
609,3,36,1,1,1,1,1,2,0,0,0,2,3,3,2,1,2,3,3,3,2
610,2,77,1,2,1,1,1,1,0,0,0,1,2,1,4,2,2,2,2,1,3
611,1,44,3,1,1,4,1,0,1,1,2,1,2,3,4,3,3,3,3,3,3
612,2,73,1,1,1,1,1,1,1,1,1,1,3,1,2,2,2,8,4,3,2
613,3,28,3,1,1,1,1,2,1,1,2,1,1,4,1,3,4,3,1,2,5
614,1,51,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,2,1,2
615,1,37,1,2,1,1,1,0,1,1,4,1,2,3,3,1,2,2,8,2,3
616,1,64,0,1,1,1,1,0,1,1,1,1,2,2,1,1,3,5,5,1,4
617,2,74,1,2,1,4,1,0,1,1,1,1,2,2,3,3,3,2,2,3,3
619,1,69,1,2,1,1,1,1,2,2,1,1,1,2,3,3,3,2,1,1,3
620,3,33,0,1,1,1,1,0,1,8,5,1,1,8,2,1,3,4,4,3,3
621,1,56,0,2,1,1,2,0,1,2,1,1,1,4,2,2,4,4,4,2,4
622,3,40,1,2,1,1,1,2,0,0,0,1,3,2,2,1,1,2,2,1,3
624,3,34,0,1,1,4,1,0,1,1,2,1,1,4,2,1,3,5,5,4,4
625,1,47,1,1,1,1,1,2,0,0,0,1,2,2,3,2,2,1,1,3,2
626,2,87,0,1,1,1,8,2,0,0,0,1,2,3,8,8,8,8,8,8,8
627,3,60,1,1,1,1,2,1,1,1,5,1,2,8,1,1,2,8,4,2,4
628,2,70,0,2,1,1,1,0,2,1,3,1,4,2,2,1,2,3,2,8,2
629,1,43,1,1,1,1,1,0,1,1,1,1,2,8,8,3,3,8,8,2,2
630,1,43,3,2,1,2,8,8,1,2,2,4,4,3,3,2,2,3,5,3,3
631,1,21,1,2,1,1,1,0,1,1,2,1,2,4,3,4,4,1,3,2,4
632,5,72,0,2,1,1,2,1,1,2,3,1,1,2,2,2,4,4,4,3,4
633,2,81,0,2,1,1,8,1,1,2,1,1,2,1,1,1,3,8,2,2,8
634,2,82,1,2,1,1,2,0,1,1,5,1,2,4,3,3,3,2,2,2,3
635,2,86,0,2,1,1,8,1,8,8,2,1,1,3,8,3,2,2,2,2,3
636,3,27,2,1,1,1,2,1,0,0,0,1,4,4,4,2,4,4,4,4,4
637,1,77,0,2,1,1,1,0,8,2,2,1,4,2,8,2,3,2,4,2,2
638,1,71,0,1,1,1,1,1,0,0,0,1,3,3,8,2,2,8,8,1,3
640,5,39,3,1,1,1,8,2,1,2,2,2,4,2,2,2,2,3,4,2,2
641,1,45,1,1,1,1,1,0,1,1,2,1,4,4,2,2,4,4,4,2,4
642,1,35,1,2,1,1,8,8,0,0,0,4,4,2,2,2,2,2,2,2,2
643,1,42,1,2,1,2,1,1,0,0,0,1,2,2,2,1,2,3,2,2,2
644,1,65,1,1,1,1,1,2,0,0,0,2,4,2,2,2,3,8,8,8,3
645,5,26,3,1,1,1,8,0,1,1,1,2,3,8,8,3,3,2,3,3,4
646,1,45,1,1,1,1,1,1,1,1,3,2,5,4,4,2,4,4,4,4,4
647,1,46,1,2,1,1,2,0,1,2,1,1,1,3,3,2,4,3,3,4,4
648,3,47,1,2,1,1,2,1,1,1,5,4,4,4,2,1,4,4,4,2,4
649,1,27,0,2,1,2,2,1,0,0,0,2,2,8,8,3,8,4,4,8,3
650,1,30,1,1,1,1,8,1,0,0,0,1,1,2,2,4,1,2,2,2,2
651,5,25,2,2,1,1,1,0,1,2,4,2,2,1,2,3,1,1,1,2,1
652,1,29,3,2,1,1,1,1,1,1,1,2,1,1,1,3,3,2,1,1,3
653,1,52,1,2,1,1,1,1,0,0,0,1,1,2,2,1,4,1,4,3,4
654,1,39,1,2,1,1,2,0,1,1,1,1,4,4,4,2,4,2,2,2,4
655,1,52,1,2,1,1,1,1,1,1,1,2,2,1,2,2,4,1,2,3,4
656,5,99,0,2,1,1,1,1,1,1,1,1,3,2,3,2,3,1,4,3,3
657,1,51,1,2,1,1,1,0,1,8,1,1,3,2,3,2,3,2,3,2,3
658,5,28,3,1,1,1,2,1,2,2,2,1,3,2,2,3,1,3,1,3,2
660,4,48,0,2,1,1,1,0,9,1,2,2,4,2,3,2,2,3,4,3,2
662,1,31,1,2,1,1,1,0,1,2,4,1,2,3,3,3,4,2,1,3,3
664,1,37,1,2,1,2,1,2,0,0,0,2,4,3,2,1,2,2,3,3,3
665,1,55,1,1,1,1,1,1,0,0,0,1,3,1,2,1,3,4,2,4,4
666,1,40,1,2,1,1,1,0,1,1,3,2,3,8,3,1,8,3,3,3,3
667,5,20,1,1,1,2,1,1,0,0,0,1,4,8,8,4,3,2,3,8,3
668,1,46,1,1,2,9,1,1,9,9,9,2,5,9,9,9,9,9,9,9,9
669,1,72,1,1,1,1,2,2,1,2,1,1,2,4,1,4,4,3,2,2,4
670,5,27,2,2,2,1,2,2,0,0,0,4,4,2,5,4,2,4,5,4,4
671,2,79,0,2,1,1,1,1,0,0,0,1,5,4,4,1,4,3,4,4,4
672,1,73,0,1,1,1,1,0,8,1,2,1,5,3,4,1,4,4,5,5,5
673,2,75,0,2,2,1,2,1,0,0,0,1,5,5,3,4,5,4,3,3,4
674,1,72,0,1,1,1,2,1,2,1,5,2,5,2,1,1,3,8,5,8,8
